concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
4186397	Myocardial ischemia	Condition	SNOMED	Disorder	S	414795007	20050131	20991231	
40436953	Myocardial ischemia	Condition	SNOMED	Disorder		233822007	20020131	20020131	D
201826	Type 2 diabetes mellitus	Condition	SNOMED	Disorder	S	44054006	20020131	20991231	
1567956	Type 2 diabetes mellitus	Condition	ICD10CM	3-char nonbill code		E11	20120101	20991231	
320128	Essential hypertension	Condition	SNOMED	Disorder	S	59621000	20020131	20991231	
44833556	Essential hypertension	Condition	ICD9CM	3-dig nonbill code		401	19700101	20991231	
4198190	Appendectomy	Procedure	SNOMED	Procedure	S	80146002	20020131	20991231	
2002907	Appendectomy	Procedure	ICD9Proc	3-dig nonbill code		47.0	19700101	20991231	
3004501	Glucose [Mass/volume] in Serum or Plasma	Measurement	LOINC	Lab Test	S	2345-7	19700101	20991231	
441818	Hemangioma	Condition	SNOMED	Disorder	S	400210000	20030731	20991231	
