concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
1567956	201826	Maps to	19700101	20991231	
44833556	320128	Maps to	20131127	20991231	
2002907	4198190	Maps to	20180625	20991231	
40436953	4186397	Maps to	19700101	20991231	
201826	201826	Maps to	19700101	20991231	
320128	320128	Maps to	19700101	20991231	
4186397	4186397	Maps to	19700101	20991231	
4198190	4198190	Maps to	19700101	20991231	
4186397	4185932	Is a	20110731	20991231	
320128	316866	Is a	20110731	20991231	
